Date,Open,High,Low,Close,Adj Close,Var.Day(%),Class,Volume
2001-08-31,12906,12949,12789,12841,12841,-0.40,Baixa,0
2001-09-03,12849,12863,12696,12800,12800,-0.32,Baixa,0
2001-09-04,12812,12947,12767,12767,12767,-0.26,Baixa,0
2001-09-05,12767,12768,12462,12591,12591,-1.38,Baixa,0
2001-09-06,12594,12599,12251,12255,12255,-2.67,Baixa,0
2001-09-10,12238,12238,11901,11922,11922,-2.72,Baixa,0
2001-09-12,10773,11319,10706,11113,11113,-6.79,Baixa,0
2001-09-13,11127,11156,10290,10306,10306,-7.26,Baixa,0
2001-09-14,10262,10271,9533,10034,10034,-2.64,Baixa,0
2001-09-17,10032,10577,10032,10550,10550,5.14,Alta,0
2001-09-18,10543,10708,10321,10554,10554,0.04,De Lado,0
2001-09-19,10560,10836,10485,10745,10745,1.81,Alta,0
2001-09-20,10719,10719,10470,10543,10543,-1.88,Baixa,0
2001-09-21,10493,10493,9890,10419,10419,-1.18,Baixa,0
2001-09-24,10453,10694,10453,10533,10533,1.09,Alta,0
2001-09-25,10539,10596,10195,10229,10229,-2.89,Baixa,0
2001-09-26,10227,10274,9893,10006,10006,-2.18,Baixa,0
2001-09-27,9996,10462,9705,10405,10405,3.99,Alta,0
2001-09-28,10412,10714,10412,10636,10636,2.22,Alta,0
2001-10-01,10633,10633,10354,10501,10501,-1.27,Baixa,0
2001-10-02,10492,10556,10299,10351,10351,-1.43,Baixa,0
2001-10-03,10356,10356,10189,10233,10233,-1.14,Baixa,0
